Group ID,Group 01,Group 02,Group 03,Group 04,Group 05,Group 06,Group 07,Group 08,Group 09,Group 10,Group 11,Group 12,Group 13,Group 14
2009 Nov,275.6,86.2,194.2,72.6,87.4,15.2,9.4,2.5,10.2,330.2,13.9,10.2,18.5,33.2
2009 Dec,342,124.5,274.1,107,119.5,17.4,9.9,3.7,14.8,471,17.4,12,22.6,49.9
2010 Jan,255.4,87.4,156.6,62.8,113.4,13.5,8.3,2.3,8.1,373.3,11.9,15.4,20,55.1
2010 Feb,215.5,103.1,149.9,66.9,90.4,16.4,7.8,1.7,11.2,350.6,11.9,15.7,17,34.5
2010 Mar,229.6,113.6,170.6,74.2,92,14.2,9,1.7,10,370.5,13.6,17.7,18.2,34.2
2010 Apr,214.4,100.3,164.1,82.7,81.1,11.4,7.9,1.6,8,339,14,18,17.5,28.4
2010 May,224.5,105.4,157.8,84.3,84.2,11.4,8.9,2,9.3,349.2,14.5,19.8,17.2,29.5
2010 Jun,205.6,111.9,152.8,79.6,79.2,11.5,9.3,1.9,8.8,344.1,14,18.7,21.4,29.2
2010 Jul,198.7,125.1,160.9,87.9,78.7,12.4,8.6,2.7,9.1,365.6,14.4,18,19.4,26.4
2010 Aug,203.3,131.3,157.9,87.1,82.4,11,8.5,2.4,9.3,375.4,14.2,18.7,20.2,27.7
2010 Sep,203.2,122.7,163.3,88.6,75.9,11.8,7.7,2.3,7.9,360.6,13.9,17.8,18.6,28.7
2010 Oct,214.4,136,172.3,100.3,79.2,12.1,9.4,2.4,7.5,386.7,14.6,18,29.3,26.5
2010 Nov,201.4,136.1,190,102.9,82.2,12.3,8.1,2.4,8,397.4,16.6,19.4,30.8,28.1
2010 Dec,251.8,188.8,255.3,166.7,108.3,15.6,9.1,3.1,12.1,573.8,18.7,22.1,31.1,40.4
2011 Jan,205.8,145.5,177.8,88.9,83.2,11.5,7,3,4.9,413.3,13.8,18.5,30.3,49.1
2011 Feb,194.6,142.7,170.2,89.9,73.1,14.9,7.6,2.7,8.1,391,12,18.9,22.8,35.5
2011 Mar,200.4,162,189.6,96.8,77.7,12.8,8.4,2.9,6.2,416.5,14.2,19.6,24.3,31.4
2011 Apr,196.2,126.2,185.1,85.3,71.5,9.8,8.2,2.8,4.4,349.4,13.8,19.2,21.7,28.3
2011 May,185.9,128.1,179.7,86.5,74.8,10.3,8.5,2.8,5.6,356,14.6,19.4,22.6,25.1
2011 Jun,183.2,130.3,180.9,79.4,66,9.9,8.7,2.8,4.8,334.8,14.3,18.1,25.1,21.7
2011 Jul,188.5,141.3,179.5,86.8,77.5,11.9,7.9,2.8,5.7,370.6,12,12.4,23.9,21.8
2011 Aug,192.4,145.9,199.9,83,80.4,11.1,8.9,2.8,6.9,375,11.8,13.4,21.9,22.7
2011 Sep,188.5,135.2,184.9,78.6,72.4,10.4,8.1,2.8,4.8,345.6,11.6,12.7,22.3,21.3
2011 Oct,197.6,128.8,169,79.3,68.5,11,8.3,2.8,4.5,340.6,11.5,14.2,23.6,23.3
2011 Nov,201.4,125.5,169.6,86.2,70.2,11.6,9.1,2.8,5,351.1,11.2,12.2,25,24.8
2011 Dec,257.2,164.1,200.4,135.4,91.2,12.3,8.9,3.5,6.7,489.7,13.4,14.6,27,40.6
2012 Jan,188.1,114.3,141.2,79.4,94.7,9.9,8.7,2.4,3.8,365.1,11.4,12.2,24.4,40.3
2012 Feb,200.1,132.3,145.9,84.8,85.7,12.6,7.5,2.3,7.2,374.5,11.9,12.4,19,28.2
2012 Mar,199.7,142.5,155.3,87.2,89.3,11.8,7.4,2.4,5.3,390.3,13.2,12.3,20.6,30.4
2012 Apr,214.5,109.5,143.3,81.7,79.8,8.7,7,1.9,4,325.6,13.5,12.1,16.6,23.2
2012 May,216.2,119,143.2,90.1,89.2,8.7,7.4,2.1,4.6,359,15,12.3,16.7,26.7
2012 Jun,208.6,110.7,143.9,78,81.7,9.2,8.6,2,4.4,327.6,14.9,12.9,18.3,25.8
2012 Jul,204.5,116.8,133,78.9,81.6,10.2,9.2,2.2,5,339.5,11.7,15.9,19.3,28.5
2012 Aug,213.9,118.8,137.2,86.5,84,9.9,7.7,2.2,6.9,353.9,12.4,16.5,17.3,29.8
2012 Sep,211.7,110.8,133.7,81.4,81.4,8.5,7.9,2,5,331.9,11.8,16,20.7,29.2
2012 Oct,230.6,111.7,142.4,83.1,81.6,9.2,7,2.3,4.7,341.8,12.1,13.6,20.4,30
2012 Nov,219.5,114.1,141.6,92.9,83.6,9.6,6.7,2.3,5.2,359.7,13.1,13.1,22.6,32.3
2012 Dec,276.2,130.7,162.6,125.8,97.8,10.5,7.5,2.7,6.9,438.5,13.1,14,25.1,36.9
2013 Jan,234.5,108.2,134.4,77.2,84,9.7,5.6,2.1,4.8,337.7,10.3,12.9,25.3,29.5
2013 Feb,226.2,117.7,123.1,81.5,74.5,11.7,5.1,2.1,7.7,346.1,10.9,12.8,18.5,28.7
2013 Mar,233.4,113.9,140.2,81.7,72.4,10.2,5.2,2.3,5.8,340.2,11.8,13.6,18.6,29.2
2013 Apr,234.4,96.7,147.6,55,72.9,8.2,5.3,2.4,4.2,287.8,11.8,16.2,19.1,29.3
2013 May,243,93,151.5,66.2,70.6,9.9,7.4,2.3,4.2,298.5,12.7,15.2,18.2,30.7
2013 Jun,228.7,77.1,146.5,57.7,71.1,8.4,6.8,2.3,4.3,267.2,11.8,15.1,19.6,27.8
2013 Jul,235.9,83.7,154.9,56.7,73.5,9.9,6.5,3,5.4,281.7,12.3,15.4,17.2,27.9
2013 Aug,247.8,92.4,166.6,61.2,74.2,9.7,6.8,2.5,6.3,302.5,12.6,14.9,16.2,32.5
2013 Sep,240.2,87.7,161.9,51.1,68,8.8,6.6,2.1,4.4,272.2,11.8,16.1,17.5,29.1
2013 Oct,244.5,92.5,179.4,57.5,68.4,10.1,7,1.6,4,286.4,13.9,14.7,18.2,33.2
2013 Nov,232.2,105,183.7,65.7,70.9,11.1,6.7,1.7,4.8,314,15.1,14.1,18.8,36.1
2013 Dec,270.9,131.8,246.2,90.4,91.9,13.9,7.7,2.4,6.7,399.2,16.5,15.4,22.6,42.4
2014 Jan,235.3,100.3,170.5,73.2,75.1,10.6,7.8,1.4,4.8,314.9,12.7,13.9,16.8,34.7
2014 Feb,213.3,109.7,167.6,65.7,65.5,11.2,7.4,1.3,7,311,12.5,12.6,14.3,34.1
2014 Mar,227.3,118.8,183.7,65.7,70.9,8.9,7.5,1.3,5.8,325.2,13.6,13.8,16.4,34.4
2014 Apr,208,97.2,192.9,57.6,58.2,8.4,7.2,1.1,4.3,272.5,13.8,12.6,15.2,31.5
2014 May,218.3,98,175.3,65.5,64.5,8.4,8.6,1.2,4.7,291.3,14.8,13.2,16.4,33.7
2014 Jun,213.3,90,177.6,54.8,59.7,7.7,9.4,1.1,4,264.6,15,12.7,15.6,33.5
2014 Jul,209.1,100.7,189.7,61.1,68.9,6.5,8.4,1.6,5.3,296,16.6,11.4,16,36.9
2014 Aug,212.9,110.8,193.8,65.8,79.5,6.1,8.9,1.6,5.8,325.4,16.4,11.8,15.8,39.7
2014 Sep,211.2,98.4,190.2,59.2,67.3,5.4,9.5,1.3,4.6,283.6,15.6,12.7,16.3,32.6
2014 Oct,243.1,98.3,181.4,56.9,73.4,6.2,8.2,1.1,4,288.7,15.4,11.4,17.2,32.5
2014 Nov,243.5,105.3,187.1,61.6,70.4,6.3,8,1.3,4.5,299.8,16.4,11.5,18.8,32.4
2014 Dec,300.7,125.8,231.6,79.3,85.8,9.2,8.7,1.7,7.3,375.7,15.3,13.5,22.8,44.3
2015 Jan,219.2,95.9,165.9,44.6,72.3,7.6,8.1,1,4.9,275,11.4,12.9,16.3,35.2
2015 Feb,211.9,106,167.4,45.5,65,10,6.7,0.9,7.9,279,11.6,12.3,14.3,29.3
2015 Mar,213,111.6,182,52,69.6,9.5,8,0.9,6.2,298.4,12.4,13.9,15.2,31.7
2015 Apr,208.5,99,185.3,41,63.2,8.6,7,0.7,4.9,256.2,12.5,13.4,14.9,27.1
2015 May,201.2,100.8,176.5,41.7,67.2,9.3,7.7,1,5.5,264.1,12.6,13.2,17.5,27.5
2015 Jun,201.4,86,173,38.9,61.7,8.8,9.9,1,4.8,237.5,12.2,13.3,17.3,26.6
2015 Jul,212.2,91.5,189.2,41.9,63,10.9,7.8,1.4,7.1,258.6,12.6,11.3,16.9,30.2
2015 Aug,210.8,96,199.7,43.9,63.1,9.6,8.8,1.2,8.2,271,13.3,10.3,17.4,37.2
2015 Sep,216.3,89.1,194.5,41.6,61,9.3,8.3,1.1,6.3,259.5,13.7,9.5,18.5,38.7
2015 Oct,230.5,94.8,187.6,46.6,61.2,9.5,8.1,1,5.9,275.5,14,10,18.8,43.4
2015 Nov,226.5,97.2,193.5,50.2,60.9,9.8,7.9,1.1,6.6,286.6,15.3,9.4,24.9,46.5
2015 Dec,282.5,118.1,249.5,72.4,76.7,13.5,8.8,1.7,9.5,372,16.8,9.6,34.1,62
2016 Jan,223,86.1,177.3,42.7,63.5,12,8,1,5.4,266.1,13.8,9.9,28.9,44.3
2016 Feb,213.9,92.4,185.9,43.2,52.2,15.1,6.8,1.2,7.5,265,13.7,9.2,24.1,41.4
2016 Mar,219.7,96.5,201.8,47.6,53.9,13.3,7.2,1.2,6.2,274.3,14.5,8.8,23.4,42
2016 Apr,219.8,83.1,190.7,45.9,47.7,10.5,7.3,1.3,5.2,240.3,14.5,9,24.5,35.7
2016 May,218.9,85,195.3,47.1,45.8,12.1,7.8,1.3,5.4,245.5,15.7,9.3,23.4,38.4
2016 Jun,207.1,74.4,192.6,43.3,49.2,10.9,8.6,1.3,4.8,232.3,15.5,9.6,23.7,38.5
2016 Jul,199,84.6,195.5,44.9,53.6,14.1,8.2,1.7,5.8,256.1,16.3,9.9,25.1,40.8
2016 Aug,204.9,89.5,198.3,49.1,56.6,14.6,8.3,1.5,6.6,270.9,15,9.9,21.7,41.7
2016 Sep,212.4,83,192.6,45.7,52.5,11.4,8.2,1.3,4.9,248.4,15,9.4,22.4,40
2016 Oct,233.1,84.5,190,46.8,53.7,11.4,8,1.3,5,253,15.2,10.7,26.8,40.8
2016 Nov,236.5,94.8,194.6,52.1,55.8,11.1,8.4,1.4,5.5,275.3,17,11.3,26.2,44.5
2016 Dec,293.6,128.2,235.8,81.8,70.7,16,9.9,2.1,8.7,379.1,19.7,11.2,33.7,57.5
2017 Jan,233.7,88,181.9,48.7,60.2,11.9,8.2,1.1,5.2,270.4,15.5,12,25.9,45.8
2017 Feb,221.2,90.2,181.9,50.3,51.4,12.9,6.7,1,6.6,261.3,16,11.1,20.9,39.1
2017 Mar,236.5,95.2,195.9,54.2,56.7,12.8,8.2,1.2,5.7,277.6,16.7,11.4,22.3,40.5
2017 Apr,239.4,80.9,195.2,46.3,52.1,10.3,7.5,1.3,4.9,239.8,17.6,12.6,22.8,34.3
2017 May,237.8,89.1,187.4,45.1,50.8,11.8,9,1.5,6,252,18.8,11.5,24.9,37.5
2017 Jun,226.5,79.3,184.5,42.2,50.2,11.6,10.2,1.3,4.3,234.6,18.5,10.5,25.3,36
2017 Jul,226.2,87.8,199.8,45,53.2,10.9,8.8,1.6,6.5,251.3,19.4,10.5,27.2,36.1
2017 Aug,233.3,92.1,202,47.3,56,9.9,8.6,1.5,6.5,265.4,19.9,9.6,24.9,41.5
2017 Sep,229.8,85.3,196.5,43.9,53.1,9.6,8.4,1.5,5.8,245.1,19.8,9.8,25.5,36.1
2017 Oct,226.6,84,208.3,45.9,49.1,9.5,8,1.1,5.2,243.9,20.1,10.7,28.1,39.5
2017 Nov,239.7,94.7,203.2,49.7,50.7,9.1,8.2,1.1,5.9,265,21.2,11.9,29.3,43.3
2017 Dec,311,116.3,249.5,75.8,65.5,12.9,9.5,1.7,8.9,349.8,24.6,14.1,32.7,54
2018 Jan,245.2,83.4,192.9,47.6,51.9,11.6,7.7,1.2,4.8,256.6,19.3,11.4,28.9,45.2
2018 Feb,219.3,81.5,200.9,42.8,45.2,11.2,7.2,1.1,5.5,235.1,18.1,11.7,24.7,37
2018 Mar,254.8,86.6,223,43.7,44.2,12.1,7.3,1.2,5.7,243.8,18.9,14,25.3,39.2
2018 Apr,241.8,77.7,197.5,40.8,43.9,10.2,8.3,1.3,4.4,223.5,18.8,12,24.6,35.7
2018 May,252.5,81.4,198,40.6,45.1,10.6,8.2,1.5,4.2,231.3,18.9,12.4,25.7,38.5
2018 Jun,242.2,77.6,192.7,39.1,41.3,10.4,9.3,1.6,4.1,221.3,19.4,12.8,28.5,38.3
2018 Jul,250,78.5,203.9,37.3,46.5,8.8,8.5,1.7,5.3,224.3,17.5,11.4,27,35.4
2018 Aug,256.7,92.6,213.4,39.3,55.8,8.6,7.9,1.6,5.4,252.7,16.9,11.4,25.9,38.3
2018 Sep,252,80.7,214.2,38.9,49.1,8.1,8,1.5,5.2,230.6,18.1,11.3,26.7,37.2
2018 Oct,261.9,74.2,215.6,39.8,50.2,7.9,8.2,1.3,4.1,225.2,19.3,10.3,28.7,36.6
2018 Nov,262,82.5,206.2,41.7,56,8.5,8,1.2,5,244.2,20.5,11.1,31,38.6
2018 Dec,337.6,108.9,257.7,60.1,68.6,10.6,9.2,1.5,8,325.8,23.2,14.2,34.9,53.6
2019 Jan,263.6,77.8,188.1,43.6,58.9,10.1,7.4,0.8,4.1,246.4,17.1,10.1,26.2,41.3
2019 Feb,245.3,74.1,198.4,39,49,9.7,6.5,0.9,4,218.4,17.3,10.6,23.9,33.2
2019 Mar,264.3,76.6,226.2,42.7,51.6,8.9,7.6,0.9,3.7,225,19,11.5,24.6,30.4
2019 Apr,277.3,65.8,230.4,37.3,47.7,8.7,6.3,0.9,2.8,200,19.2,11.3,24.4,28.5
2019 May,259.5,72.7,219.4,37.9,52.3,9.1,7.6,1.4,2.9,214.5,20.2,11.1,24.8,29.7
2019 Jun,239.9,70.8,203.3,38.4,51.2,8.6,7.5,1.3,3,209,20.3,10.1,26.8,28.5
2019 Jul,233.3,76,212.9,36.9,55.5,10,7.6,1.6,4.4,224.1,20.4,8.5,26.5,31.2
2019 Aug,239.9,74.2,214.5,36.4,55.5,9.3,7.4,1.4,3.6,220.4,21.3,9.7,27.2,31.4
2019 Sep,231.4,66.8,219.3,37.1,52.3,9.6,7.1,1.2,3.8,208.9,20.2,9.4,26.5,30.3
2019 Oct,250.6,59.8,225.2,37.3,54.9,10.4,7.6,1.1,3.5,204.7,22.4,9.7,30.9,30.5
2019 Nov,252.7,64.4,218.7,39.3,55.5,11.6,7.2,1.2,4,218.7,23.9,10.8,31.9,33.8
2019 Dec,321.6,87.3,259.4,51.8,68.7,15.7,8,1.8,5.7,287.3,26.7,13.1,35,43.9
2020 Jan,243.3,64,195.6,37,60.2,11.4,6.5,0.9,2.9,215,19,8.4,27.1,30.3
2020 Feb,225.2,61.3,201.4,35.4,53.9,10.6,6,1,2.8,199.2,19.2,8.9,27.2,27.4
2020 Mar,280.7,57.3,276.1,31.6,54,11.6,7.1,1.1,2.9,190.6,24.8,11.4,27.4,25.6
2020 Apr,246,45.2,224.3,21.7,47.3,9.3,5.8,0.9,2.4,152.5,14.8,10.4,26.1,20.5
2020 May,258.2,56.5,239.9,25,55.2,11.4,8.2,1.2,2.9,184.4,16.8,11.1,33.9,25.3
2020 Jun,250.3,50.2,237.3,27.2,54.7,10.1,9.2,1.4,2.9,180.4,17.1,10.1,35.3,25.6
2020 Jul,266.8,56.8,239.6,26,54.7,11.6,9.6,1.3,3,188.4,19.5,11.3,38,28.1
2020 Aug,270.6,52.4,240.6,20.7,52.5,10.9,9.3,1.2,2.9,176.5,20.2,11.4,37.4,28.7
2020 Sep,266.9,55.9,237.1,24.5,55.8,11.5,9.6,1.3,3.1,190.3,19.9,10.5,36.1,31.2
2020 Oct,273.8,55.4,252.9,28.7,53.5,11.7,10.3,1.1,3,194,21.2,9.9,39.9,32.7
2020 Nov,283.4,58.3,253.8,40.5,55.3,13.3,9.6,1.1,3.7,213.2,21.9,9.7,39,33.8
2020 Dec,347.4,71.8,303.1,56,75.2,16.9,11.6,2.3,6.1,286.1,27,11,41.8,48.7
2021 Jan,282.6,51.9,230.8,39,58.6,12,8.9,1,3.4,204.7,19.1,8.5,37.5,31.9
2021 Feb,263.2,53.4,234.6,31.8,51.8,10.1,7.8,1.1,2.8,187.1,19.6,8.5,34.2,29.6
2021 Mar,285.3,56,269,37.1,53.8,10.7,8.8,1.1,2.9,202.7,22,9.2,33.9,33.5
2021 Apr,299.2,57,240.3,37.7,51.5,10.8,8.2,1.2,2.9,197.7,20.5,8.7,33.2,29.4
2021 May,296,62.1,235.2,35.9,52.7,11,8.9,1.5,2.8,201.5,21.1,8.7,32.7,28.7
2021 Jun,299,50.8,232.7,31.9,48.9,11.1,8.6,1.5,2.6,182.4,21.4,8.3,36.6,29.3
2021 Jul,283.1,34.6,237.4,29.7,51,10.6,9.9,1.9,2.8,166.5,22.7,9.5,38.4,29.8
2021 Aug,299.5,37.7,232.7,23.2,50,9.2,9.7,1.5,1.5,161,18.7,7.7,21.6,30.6
2021 Sep,308.7,39.8,234.5,23.2,50.7,9.6,9.2,1.4,1,162,16.5,7.2,16.9,28.9
2021 Oct,313.7,46,239,30.2,47.5,9.2,10.6,1.5,1.2,168,18.8,10.8,30.3,24.5
2021 Nov,314,50.1,221.2,42.8,53.7,10.2,9.7,1.5,3,196.7,23.5,10.8,44.4,26.6
2021 Dec,377.1,69.9,280.7,61.8,71.7,13.6,12,2.4,4.3,270.8,27.4,13.1,42.1,33.9
2022 Jan,308.6,43.1,213.5,44,51.2,8.9,8.6,1.3,2.5,181.7,19.9,9.3,35.5,21.8
2022 Feb,276.3,41.6,207,37.9,50.2,7.7,8.5,1.1,2.7,171.6,18.8,10.8,32.3,22.3
2022 Mar,298.3,40.3,224.1,37.6,51.5,7.7,10.4,1.4,2.4,173.4,20.9,11.4,36.3,23.3
2022 Apr,307,38.9,225.5,40.3,51.6,6.9,8.8,1.6,2.3,173.9,22.2,11.9,34.4,22
2022 May,301.5,43.2,215.7,42.6,55.7,7.3,9.6,1.8,2,187.6,24.3,11,36.8,26
2022 Jun,288.7,43.2,215.5,42.9,45.5,6.6,10.8,1.8,1.6,171.9,24.5,10.2,37.5,22.8
2022 Jul,304,39.3,227.2,38.8,45.8,5.4,9.5,2.1,1.6,163,27.9,10.7,38.9,21.2
2022 Aug,323.7,39,224,39.3,49.6,4.8,10.3,1.8,1.6,168.1,26.2,11,38.9,22.5
2022 Sep,323.9,39.2,223.8,36.5,51.7,5.2,9.8,1.7,1.7,167.6,25.5,10.9,37.5,22.5
2022 Oct,323.7,41.8,222.7,44.4,52.6,5.4,9.3,1.6,2,180.5,25.8,12.9,38.3,23.3
2022 Nov,342.8,44,234,49.7,54.7,5.2,10.8,1.8,2,191.3,27.5,12.3,41.9,22.6
2022 Dec,422,56.7,284.1,69.8,76.7,5.4,10.4,2.3,3.9,259.4,35,16.9,44,29.2
2023 Jan,325,38,211.6,48.2,55.7,4.7,9.7,1.1,1.8,179.8,25.7,12,37.5,19.9
2023 Feb,307.2,33.9,206.2,38.3,46.1,4.2,8.7,1.1,1.8,152.6,25.4,11.4,36.2,18.9
2023 Mar,325.9,37.4,225.9,40.5,45.7,4.2,9.3,1.2,1.9,160.5,29.3,11.8,37.3,19.4
2023 Apr,314.6,35.2,222.7,38.9,43.6,3.7,9,1.3,1.8,151.1,27.7,11.8,35.1,17.7
2023 May,311.9,33,229,38.8,41.5,3.7,9.9,1.5,1.8,150.6,30.6,11.5,36.1,19.5
2023 Jun,311,32.7,211.7,39.7,43.9,3.4,10.5,1.6,1.6,154.8,28.9,12,34.1,21.4
2023 Jul,318.7,33.5,223.4,38.2,47.1,3.6,10.3,1.6,1.6,156.6,30.8,12,35.3,20.2
2023 Aug,343.8,36,217.2,39.3,49,3.8,9.4,1.5,1.6,162.7,31.9,11.7,33.4,20.5
2023 Sep,332.2,35.4,213.8,37.7,45.3,3.7,9.6,1.4,1.5,153.7,32.7,11.8,33.1,19.1
2023 Oct,340.4,34.3,217.9,39.2,44.7,4.4,10.6,1.2,1.6,153.4,31.8,11.9,35.9,18.4
2023 Nov,341.6,38.8,218,46,49.7,4.7,11.2,1.3,2.1,172.5,35.5,13,39.6,19.3
2023 Dec,392,53.2,266,74.3,66,6.2,10.8,1.7,4.1,246.6,39.7,17.4,41.2,27